year,donor_name,flow_name,usd_commitment,usd_disbursement
2022,Total,Non-concessional loans,103343.330899,86862.818806
2022,International Bank for Reconstruction and Development,Non-concessional loans,31844.81761,27343.95294
2022,Asian Development Bank,Non-concessional loans,13646.325071,16437.348444
2022,Total,Concessional loans,10723.760006999999,10259.072846
2022,Islamic Development Bank,Non-concessional loans,11072.157563,9462.254468
2022,Inter-American Development Bank,Non-concessional loans,9033.137344,8014.0662919999995
2022,Development Bank of Latin America,Non-concessional loans,12122.286672,6782.0
2022,Asian Infrastructure Investment Bank,Non-concessional loans,6592.245,6168.9078119999995
2022,European Bank for Reconstruction and Development,Non-concessional loans,9697.680259,6041.895015
2022,European Investment Bank,Concessional loans,4006.348725,4847.643285
2022,African Development Bank,Non-concessional loans,3835.032172,3377.930293
2022,Asian Development Bank,Concessional loans,3136.21,2429.034973
2022,Inter-American Development Bank,Concessional loans,1852.1,1499.146947
2022,European Investment Bank,Non-concessional loans,1791.64581,1497.268907
2022,Total,Grants,1482.606126,1343.8981600000002
2022,Central American Bank for Economic Integration,Concessional loans,1422.581765,1273.772102
2022,Asian Development Bank,Grants,1188.050562,982.757243
2022,Central American Bank for Economic Integration,Non-concessional loans,2611.979093,771.827109
2022,Council of Europe Development Bank,Non-concessional loans,1040.067305,677.635923
2022,European Investment Bank,Equity investment,295.464295,284.013039
2022,Total,Equity investment,295.464295,284.013039
2022,Inter-American Development Bank,Grants,166.28033,232.75048
2022,Islamic Development Bank,Concessional loans,283.336117,203.439152
2022,Caribbean Development Bank,Non-concessional loans,16.97,146.327419
2022,Black Sea Trade and Development Bank,Non-concessional loans,15.0,117.417184
2022,Islamic Development Bank,Grants,43.642952,87.582802
2022,North American Development Bank,Non-concessional loans,23.987000000000002,23.987000000000002
2022,African Development Bank,Grants,16.363228,17.015159
2022,Caribbean Development Bank,Grants,0.0,7.674
2022,Council of Europe Development Bank,Concessional loans,0.0,6.0363869999999995
2022,Council of Europe Development Bank,Grants,7.039646,5.654643
2022,Central American Bank for Economic Integration,Grants,21.149979,5.4593430000000005
2022,Asian Infrastructure Investment Bank,Grants,13.939935,4.20549
2022,North American Development Bank,Grants,0.0,0.799
2022,Caribbean Development Bank,Concessional loans,23.1834,0.0
2022,Development Bank of Latin America,Grants,26.139494,0.0
2021,Total,Non-concessional loans,102386.449098,82714.001615
2021,International Bank for Reconstruction and Development,Non-concessional loans,29066.000298,23722.82232
2021,Asian Development Bank,Non-concessional loans,16600.167488,14877.440433
2021,Inter-American Development Bank,Non-concessional loans,10715.133578,9351.513605
2021,Total,Concessional loans,7985.856767,9277.769522999999
2021,Development Bank of Latin America,Non-concessional loans,11219.185,7660.0
2021,Islamic Development Bank,Non-concessional loans,8374.91311,7581.473432
2021,Asian Infrastructure Investment Bank,Non-concessional loans,9501.77,6925.0068599999995
2021,European Bank for Reconstruction and Development,Non-concessional loans,8927.999632,5865.541107
2021,European Investment Bank,Concessional loans,4861.083254,5210.302739
2021,Asian Development Bank,Concessional loans,2648.37,2921.978915
2021,African Development Bank,Non-concessional loans,2528.771263,2441.127757
2021,Central American Bank for Economic Integration,Non-concessional loans,2946.828334,2260.684503
2021,European Investment Bank,Non-concessional loans,1187.55085,1114.272704
2021,Total,Grants,1115.336535,1065.0098229999999
2021,Inter-American Development Bank,Concessional loans,223.951057,690.027659
2021,Council of Europe Development Bank,Non-concessional loans,376.064333,552.965588
